"date","close","volume","open","high","low"
"2018/02/12","184.0600","6780372.0000","186.5500","187.0100","183.4100"
"2018/02/09","184.1200","9055892.0000","183.2500","186.0000","175.7900"
"2018/02/08","181.2200","7227848.0000","191.1400","191.1400","180.9300"
"2018/02/07","191.2900","6013497.0000","190.7300","194.5150","189.7200"
"2018/02/06","191.0400","11679930.0000","178.6200","191.9600","175.4200"
"2018/02/05","183.1100","10516010.0000","190.0700","194.2950","180.3800"
"2018/02/02","193.9700","6040731.0000","199.2500","199.3000","193.4400"
"2018/02/01","199.9000","3552434.0000","199.3400","202.2500","198.2800"
"2018/01/31","200.9000","4534826.0000","203.2200","205.0830","200.2300"
"2018/01/30","201.8100","5979158.0000","201.4700","203.1500","191.5700"
"2018/01/29","204.9200","3605990.0000","207.2300","207.6050","204.7100"
"2018/01/26","207.2300","3766504.0000","205.6000","207.3098","204.4400"
"2018/01/25","205.3700","3534053.0000","206.8000","206.8300","203.8400"
"2018/01/24","206.2200","4098027.0000","205.2000","207.1000","204.5510"
"2018/01/23","204.9000","3597942.0000","204.8900","206.3500","204.1510"
"2018/01/22","204.4600","4849101.0000","201.6000","204.4700","201.5100"
"2018/01/19","201.3300","5790981.0000","199.8100","201.3300","199.1300"
"2018/01/18","198.3300","4460343.0000","199.7800","200.2400","197.6600"
"2018/01/17","199.8200","3995270.0000","197.5000","199.8200","196.8401"
"2018/01/16","196.3100","5661794.0000","197.8600","198.9496","195.7000"
"2018/01/12","196.4200","6746001.0000","195.5000","199.4200","194.8200"
"2018/01/11","194.6800","3895340.0000","191.6800","194.7300","191.4000"
"2018/01/10","191.8000","3116355.0000","192.7600","193.2160","191.6500"
"2018/01/09","193.1000","3007972.0000","192.7000","193.4700","191.6400"
"2018/01/08","192.0400","3503481.0000","191.7200","193.7200","191.6000"
"2018/01/05","192.5000","4223343.0000","190.9300","192.5400","190.5100"
"2018/01/04","190.5100","4046966.0000","189.8700","190.8700","188.4700"
"2018/01/03","189.0100","4530010.0000","188.0000","189.3600","187.8190"
"2018/01/02","188.0300","4684064.0000","190.2100","190.7200","188.0103"
"2017/12/29","189.5300","4637060.0000","190.7400","190.7400","189.5300"
"2017/12/28","189.7800","3175601.0000","190.9100","190.9800","189.6400"
"2017/12/27","190.1900","5910599.0000","190.6000","191.4900","190.0100"
"2017/12/26","190.3600","2963155.0000","188.5300","190.4200","188.3400"
"2017/12/22","188.1300","3256509.0000","188.4600","188.4600","187.2700"
"2017/12/21","188.0800","5855241.0000","187.8900","188.8400","187.4400"
"2017/12/20","187.3100","5382622.0000","187.0000","187.9024","186.0350"
"2017/12/19","185.9800","4492044.0000","185.2400","186.7200","184.6000"
"2017/12/18","184.7300","5011569.0000","183.5000","185.4700","183.5000"
"2017/12/15","182.5800","8199590.0000","182.9900","183.2100","182.1300"
"2017/12/14","182.1300","3542577.0000","183.5900","184.0000","182.0600"
"2017/12/13","183.0300","5176163.0000","182.0100","183.6700","182.0000"
"2017/12/12","181.8000","5274612.0000","182.7500","183.2100","181.6600"
"2017/12/11","182.2500","5537858.0000","182.9000","182.9600","181.1201"
"2017/12/08","183.4100","5091436.0000","182.5000","183.9000","182.1600"
"2017/12/07","182.0000","5484303.0000","180.0500","182.5800","179.7700"
"2017/12/06","180.8000","6887377.0000","180.2500","182.1500","178.6800"
"2017/12/05","182.8500","6341919.0000","184.7900","184.9100","182.2589"
"2017/12/04","184.9000","6190213.0000","183.1900","186.3100","183.1900"
"2017/12/01","180.4200","4603856.0000","180.3200","180.6000","176.7000"
"2017/11/30","179.8200","9122675.0000","178.0700","180.6700","177.4100"
"2017/11/29","177.2500","4888706.0000","176.5700","178.4300","175.6800"
"2017/11/28","176.5700","6047956.0000","174.8900","176.7700","172.9911"
"2017/11/27","174.1600","4539303.0000","172.8700","174.9100","172.3800"
"2017/11/24","172.3300","1853587.0000","172.1100","173.1000","171.7425"
"2017/11/22","172.0600","4132396.0000","172.8900","172.9400","172.0400"
"2017/11/21","172.8600","6224148.0000","170.5300","172.8600","170.1500"
"2017/11/20","170.4500","4695428.0000","168.1400","170.6900","167.8000"
"2017/11/17","167.7400","4529905.0000","167.0000","168.4300","166.0600"
"2017/11/16","167.5000","4585029.0000","166.6800","167.7600","166.0600"
"2017/11/15","165.4700","5463931.0000","167.4400","167.4400","165.3500"
"2017/11/14","168.0600","10228430.0000","163.6200","168.1400","163.1500"
"2017/11/13","165.3500","7164810.0000","164.6400","166.6400","164.2500"
"2017/11/10","164.1100","3553230.0000","163.3400","164.5800","162.9300"
"2017/11/09","163.2700","3400652.0000","164.1000","164.1350","162.2800"
"2017/11/08","164.0500","2912855.0000","163.3400","164.6800","163.2700"
"2017/11/07","163.6600","3196618.0000","164.0900","164.4000","162.8300"
"2017/11/06","164.2200","3275119.0000","164.8000","164.8800","163.0100"
"2017/11/03","164.3900","3078360.0000","163.0100","164.9900","162.6800"
"2017/11/02","162.7100","6509043.0000","165.0100","165.0100","160.5300"
"2017/11/01","165.3800","3564119.0000","166.4200","166.7400","165.1200"
"2017/10/31","165.7800","2917745.0000","165.4000","166.3400","165.1000"
"2017/10/30","165.3100","3900110.0000","166.9900","166.9900","164.8800"
"2017/10/27","167.3400","3718103.0000","166.8000","167.7500","166.4600"
"2017/10/26","167.6500","3748052.0000","166.3900","167.9400","166.1068"
"2017/10/25","166.0700","4189075.0000","166.1100","166.9500","165.3803"
"2017/10/24","166.0300","3663003.0000","164.6700","166.4600","164.6500"
"2017/10/23","164.7400","3991776.0000","164.0400","166.2650","163.7500"
"2017/10/20","163.4300","4094945.0000","163.9700","164.1500","162.7400"
"2017/10/19","163.2400","2672517.0000","163.5000","164.1100","162.7700"
"2017/10/18","163.4500","2758010.0000","163.4200","164.2400","163.3500"
"2017/10/17","163.3500","4160953.0000","164.2200","164.9200","161.5111"
"2017/10/16","164.2200","2585938.0000","164.4700","164.6700","163.2600"
"2017/10/13","164.4700","3252715.0000","164.9200","166.0699","164.3500"
"2017/10/12","164.5900","3458664.0000","165.4100","165.4100","164.4700"
"2017/10/11","165.2500","2319111.0000","165.1900","165.8650","164.4500"
"2017/10/10","165.1600","2755375.0000","165.7000","165.8000","164.6400"
"2017/10/09","165.7100","2131437.0000","166.1400","166.6300","165.4200"
"2017/10/06","165.8500","2897309.0000","166.1800","166.6300","165.7400"
"2017/10/05","166.1200","3493807.0000","165.0700","166.2500","164.2600"
"2017/10/04","165.2900","2738444.0000","165.4900","166.0800","164.9100"
"2017/10/03","165.1700","3046204.0000","164.0600","165.2800","164.0000"
"2017/10/02","164.0200","2635440.0000","164.2000","164.2500","163.2200"
"2017/09/29","163.5600","3446121.0000","162.5000","163.6100","162.1500"
"2017/09/28","162.3600","4610947.0000","160.7200","162.4500","160.6600"
"2017/09/27","160.9200","3922540.0000","161.3800","161.6900","160.1400"
"2017/09/26","161.2600","3075068.0000","161.5500","162.0000","160.7900"
"2017/09/25","161.1000","4861448.0000","160.0500","161.4300","159.7500"
"2017/09/22","159.9700","3576063.0000","159.1400","160.0900","159.0100"
"2017/09/21","159.1900","2892233.0000","158.8700","159.5560","158.7200"
"2017/09/20","158.6800","4596396.0000","157.5700","159.3900","157.3600"
"2017/09/19","157.6600","3703710.0000","157.8000","158.3200","157.1600"
"2017/09/18","157.8100","4003948.0000","159.0000","159.0000","157.6900"
"2017/09/15","158.4000","9101430.0000","159.9800","159.9900","158.2900"
"2017/09/14","159.3800","5280860.0000","160.3500","160.8500","159.3300"
"2017/09/13","160.0200","4704553.0000","160.3900","161.3800","159.5500"
