"date","close","volume","open","high","low"
"16:00","228.03","27,295,606","235.37","235.48","225.0305"
"2018/02/12","228.0300","27253860.0000","235.3550","235.4800","225.0305"
"2018/02/09","232.0800","41816880.0000","238.2500","238.8900","217.5200"
"2018/02/08","217.5200","27093560.0000","233.8800","235.2200","217.5100"
"2018/02/07","228.8000","20029760.0000","229.5800","234.9700","226.7000"
"2018/02/06","225.5800","27645680.0000","204.4000","225.7000","204.0000"
"2018/02/05","213.7000","28976420.0000","227.0000","233.2300","205.0000"
"2018/02/02","233.5200","17890080.0000","237.0000","237.9700","231.1700"
"2018/02/01","240.5000","12890850.0000","238.5200","246.9000","238.0600"
"2018/01/31","245.8000","11907100.0000","245.7700","249.2700","244.4500"
"2018/01/30","242.7200","14227640.0000","241.1100","246.4200","238.4100"
"2018/01/29","246.8500","11360710.0000","242.7400","248.1100","240.6100"
"2018/01/26","243.3300","12874330.0000","238.1200","243.3400","237.6000"
"2018/01/25","236.3500","10219440.0000","238.0000","239.7500","235.7500"
"2018/01/24","235.8000","14497040.0000","239.0400","240.4936","233.5500"
"2018/01/23","238.9100","11796460.0000","235.8500","239.8300","235.1010"
"2018/01/22","233.6900","13734090.0000","230.4300","233.7600","228.1000"
"2018/01/19","230.1100","14741830.0000","228.0900","231.0900","227.0000"
"2018/01/18","224.4400","10184270.0000","223.9400","226.6400","222.6800"
"2018/01/17","224.7200","13429320.0000","220.7000","225.1200","216.9000"
"2018/01/16","220.1100","17249950.0000","224.0500","227.5100","216.6900"
"2018/01/12","222.9800","8984239.0000","223.6000","224.9900","221.3400"
"2018/01/11","224.0800","9949932.0000","225.0000","226.2700","223.2100"
"2018/01/10","223.6800","14467610.0000","218.2000","223.8200","216.0000"
"2018/01/09","221.9400","12406250.0000","222.2200","223.8200","218.6400"
"2018/01/08","222.0000","21763590.0000","220.4000","225.0000","218.5800"
"2018/01/05","215.4000","14427000.0000","214.1900","216.9100","211.0800"
"2018/01/04","213.5900","14551390.0000","215.7600","218.0500","212.6900"
"2018/01/03","212.4700","22749780.0000","204.1000","213.7000","203.7500"
"2018/01/02","199.3500","8715156.0000","195.7800","199.5000","194.5000"
"2017/12/29","193.5000","6977102.0000","198.4600","198.4600","193.5000"
"2017/12/28","197.4000","5997964.0000","198.1300","199.3800","197.1514"
"2017/12/27","197.1700","8220869.0000","196.9000","199.9700","196.3100"
"2017/12/26","197.4400","8859009.0000","193.0300","197.7500","191.8200"
"2017/12/22","195.2700","11645140.0000","194.4000","195.6500","191.2500"
"2017/12/21","195.8900","7510200.0000","196.9400","197.9500","195.5500"
"2017/12/20","196.8000","7212910.0000","197.7000","198.0700","194.5500"
"2017/12/19","196.1100","9282951.0000","197.5200","197.7300","194.9600"
"2017/12/18","197.9000","11889570.0000","193.2000","198.0200","192.0000"
"2017/12/15","191.5600","16718060.0000","188.2510","192.3800","185.6200"
"2017/12/14","186.4700","10922590.0000","185.9200","189.3400","184.6000"
"2017/12/13","186.1800","13823140.0000","192.5000","192.5500","185.8800"
"2017/12/12","190.8400","11339760.0000","192.9000","193.8400","189.8900"
"2017/12/11","194.6600","9268667.0000","192.0600","194.7800","191.4200"
"2017/12/08","191.4900","11531930.0000","194.0100","194.7800","191.1500"
"2017/12/07","191.9900","13393890.0000","191.9600","193.6000","190.1200"
"2017/12/06","189.2600","11595980.0000","185.7000","190.1400","184.8400"
"2017/12/05","187.7400","24512180.0000","182.4000","192.7000","180.5800"
"2017/12/04","186.6600","30960100.0000","200.0500","200.3000","184.5000"
"2017/12/01","197.6800","20251350.0000","199.3100","200.1300","192.4700"
"2017/11/30","200.7100","20567660.0000","199.2000","202.6800","196.6500"
"2017/11/29","196.4200","34867570.0000","210.0100","210.1226","191.2300"
"2017/11/28","210.7100","12795290.0000","214.3500","214.7300","208.2400"
"2017/11/27","214.1400","10557730.0000","217.3100","217.3600","214.0100"
"2017/11/24","216.9600","4518800.0000","215.5900","217.0000","214.6000"
"2017/11/22","214.9300","8909461.0000","217.0000","217.0000","213.6100"
"2017/11/21","216.0500","9955331.0000","215.6900","216.5200","214.4000"
"2017/11/20","214.0800","9872219.0000","211.9900","214.5700","210.5000"
"2017/11/17","211.3600","12863510.0000","213.9200","215.3500","210.7500"
"2017/11/16","211.6100","10985320.0000","212.9800","214.2000","211.2500"
"2017/11/15","209.9800","12513030.0000","211.9500","212.0000","207.8000"
"2017/11/14","214.1800","13197460.0000","213.0000","214.8000","211.2300"
"2017/11/13","212.6300","14527110.0000","216.1400","217.1700","212.0100"
"2017/11/10","216.1400","31295620.0000","213.0800","218.6700","211.6300"
"2017/11/09","205.3200","23767030.0000","205.2700","206.3300","200.3700"
"2017/11/08","209.1600","13032190.0000","211.8500","212.0000","207.2401"
"2017/11/07","212.0300","10668710.0000","210.5500","212.9000","210.0556"
"2017/11/06","209.6300","9729891.0000","207.2000","209.9800","206.7000"
"2017/11/03","208.6900","8811607.0000","207.2000","208.6900","205.3410"
"2017/11/02","205.9400","8532476.0000","206.0000","207.8100","203.6500"
"2017/11/01","207.2000","12465010.0000","209.3500","209.9700","204.6000"
"2017/10/31","206.8100","10257660.0000","205.1300","207.8900","204.9000"
"2017/10/30","203.8400","12582410.0000","201.8600","206.0899","201.2200"
"2017/10/27","201.8600","14283730.0000","197.8000","201.8700","196.7500"
"2017/10/26","195.6900","8012093.0000","194.7800","196.1600","193.8100"
"2017/10/25","193.6600","20678470.0000","197.0800","199.2200","191.1700"
"2017/10/24","198.6800","10094750.0000","196.9900","198.7500","195.9400"
"2017/10/23","196.6200","10690870.0000","197.7800","198.8500","195.8000"
"2017/10/20","196.9000","11255010.0000","198.4900","199.5900","196.5400"
"2017/10/19","197.8000","14176590.0000","194.4400","198.0000","192.4501"
"2017/10/18","197.5800","14158160.0000","198.1100","198.1400","193.3200"
"2017/10/17","197.7500","11629330.0000","197.0900","198.9000","196.3500"
"2017/10/16","197.9300","14352480.0000","195.8000","198.0480","193.2400"
"2017/10/13","194.5900","15683350.0000","193.5500","195.0000","191.6500"
"2017/10/12","191.0300","13124490.0000","191.0800","193.0900","189.9301"
"2017/10/11","190.9400","13207550.0000","189.6000","191.0000","187.7400"
"2017/10/10","188.9300","24317840.0000","191.4300","192.9500","187.2600"
"2017/10/09","185.3900","14024560.0000","182.7900","186.7300","182.0300"
"2017/10/06","181.3000","7950731.0000","179.6500","181.8400","179.0000"
"2017/10/05","180.7700","10910830.0000","181.8600","182.0000","179.5600"
"2017/10/04","180.8700","10680750.0000","179.6200","181.7700","178.1400"
"2017/10/03","179.3700","9731701.0000","179.2500","180.5800","177.5800"
"2017/10/02","179.0000","12567010.0000","180.8000","181.9800","177.0000"
"2017/09/29","178.7700","15447160.0000","179.0800","179.7300","177.2500"
"2017/09/28","175.6800","10862440.0000","176.0200","176.1800","173.7600"
"2017/09/27","175.7300","17756190.0000","175.6200","176.2700","172.7500"
"2017/09/26","171.9600","27800980.0000","176.4500","178.6800","170.3500"
"2017/09/25","171.0000","21820010.0000","177.7500","177.8000","170.1600"
"2017/09/22","179.0000","12260000.0000","180.3000","182.3100","178.6000"
"2017/09/21","180.7600","26862990.0000","181.6400","182.7000","177.6100"
